Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),19DA Temp (ºC),App message,
0,1000,,,,0,0.017578125,-1,-4.89E-05,-0.000556372,15.47854614,0.009268905,0,0,0.143469168,0,0,0,0,0.07421875,,,
0,1000,,,,0,0.015625,-1.00390625,1.99E-05,-0.000886583,15.47938442,0.0039422,0,0,0.06102283,0,0,0,0,0.07421875,,,
0.07872,1000,,,,0,0.015625,-0.99609375,-0.000163991,-0.00047596,15.47966766,0.00801121,0,0,0.124010873,0,0,0,0,0.07421875,,,
0.036635,1000,,,,0,0.015625,-1,7.48E-05,-0.000726512,15.48030758,0.001688594,0,0,0.026139956,0,0,0,0,0.07421875,,,
0.109175,1000,,,,0,0.015625,-1.01171875,1.34E-05,-0.000705675,15.48080158,0.000686992,0,0,0.010635187,0,0,0,0,0.07421875,,,
0.13979,1000,,,,0,0.013671875,-1.009765625,-0.000103076,-0.000689899,15.47960186,0.002965638,0,0,0.045906889,0,0,0,0,0.07421875,,,
0.1732,1000,,,,0,0.017578125,-1,-0.000103497,-0.000189522,15.48040009,-0.0038703,0,0,0.059913792,0,0,0,0,0.072265625,,,
0.20621,1000,,,,0,0.015625,-1.00390625,0.000136252,-0.000462311,15.47866535,0.003128398,0,0,0.04842343,0,0,0,0,0.072265625,,,
0.23684,1000,,,,0,0.017578125,-1.0234375,0.000198963,-0.000361816,15.48160076,-0.008753112,0,0,0.135512192,0,0,0,0,0.072265625,,,
0.266955,1000,,,,0,0.015625,-1.01171875,4.25E-05,4.74E-05,15.4803648,0.004829984,0,0,0.074769918,0,0,0,0,0.072265625,,,
0.297725,1000,,,,0,0.015625,-1,-5.03E-05,0.000204598,15.48040009,-0.006799987,0,0,0.105266526,0,0,0,0,0.072265625,,,
0.3328,1000,,,,0,0.017578125,-0.990234375,-5.08E-05,4.67E-05,15.47960091,3.60E-05,0,0,0,0,0,0,0,0.072265625,,,
0.363785,1000,,,,0,0.015625,-1.013671875,-4.32E-05,-0.000356081,15.47800064,0.005569805,0,0,0.086209438,0,0,0,0,0.072265625,,,
0.39498,1000,,,,0,0.015625,-1.013671875,2.27E-05,0.000256286,15.47960091,0.00784845,0,0,0.121490875,0,0,0,0,0.072265625,,,
